age;year;rank;ICD-2_code;underlying_cause;total_N;percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1945;8;46b;Cancer of the stomach and duodenum;133;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1945;9;197;Deaths of civilians due to operations of war;105;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1945;10;92b(2);Other specified valvular diseases (inc. sequelae of rheumatic fever);104;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;1;170;Malignant neoplasm of breast;488;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;2;410;Diseases of mitral valve;303;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;3;175;Malignant neoplasm of ovary, fallopian tube, and broad ligament;161;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;4;171;Malignant neoplasm of cervix uteri;150;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;4;2;Pulmonary tuberculosis;150;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;6;330;Subarachnoid haemorrhage;137;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;7;331;Cerebral haemorrhage;132;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;8;420;Arteriosclerotic heart disease, including coronary disease;126;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;9;153;Malignant neoplasm of large intestine, except rectum;110;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1955;10;151;Malignant neoplasm of stomach;87;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;1;170;Malignant neoplasm of breast;501;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;2;171;Malignant neoplasm of cervix uteri;234;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;3;420;Arteriosclerotic heart disease, including coronary disease;226;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;4;410;Diseases of mitral valve;160;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;5;175;Malignant neoplasm of ovary, fallopian tube, and broad ligament;138;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;6;330;Subarachnoid haemorrhage;128;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;7;970;Suicide and self-inflicted poisoning by analgesic and soporific substances;108;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;8;153;Malignant neoplasm of large intestine, except rectum;91;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;9;241;Asthma;90;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1965;10;331;Cerebral haemorrhage;86;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;1;174;Malignant neoplasm of breast;470;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;2;410;Acute myocardial infarction;157;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;3;183;Malignant neoplasm of ovary, fallopian tube, and broad ligament;128;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;4;162;Malignant neoplasm of trachea, bronchus and lung;95;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;4;430;Subarachnoid haemorrhage;95;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;6;180;Malignant neoplasm of cervix uteri;78;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;7;153;Malignant neoplasm of large intestine, except rectum;75;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;8;950;Suicide and self inflicted poisoning by solid or liquid substances;66;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;9;431;Cerebral haemorrhage;49;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1975;10;394;Diseases of mitral valve;45;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;1;174;Malignant neoplasm of female breast;442;20,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;2;430;Subarachnoid haemorrhage;95;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;3;180;Malignant neoplasm of cervix uteri;92;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;4;183;Malignant neoplasm of ovary and other uterine adnexa;91;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;5;162;Malignant neoplasm of trachea, bronchus and lung;89;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;6;410;Acute myocardial infarction;88;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;7;153;Malignant neoplasm of colon;53;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;8;191;Malignant neoplasm of brain;51;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;9;414;Other forms of chronic ischaemic heart disease;49;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;10;571;Chronic liver disease and cirrhosis;46;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1985;10;199;Malignant neoplasm without specification of site;46;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;1;174;Malignant neoplasm of female breast;403;18,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;2;162;Malignant neoplasm of trachea, bronchus and lung;102;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;3;571;Chronic liver disease and cirrhosis;94;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;4;430;Subarachnoid haemorrhage;91;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;5;180;Malignant neoplasm of cervix uteri;87;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;6;410;Acute myocardial infarction;69;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;7;183;Malignant neoplasm of ovary and other uterine adnexa;68;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;8;199;Malignant neoplasm without specification of site;67;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;9;414;Other forms of chronic ischaemic heart disease;56;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;1995;10;191;Malignant neoplasm of brain;51;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;1;C50;Malignant neoplasm of breast;387;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;2;K70;Alcoholic liver disease;137;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;3;C34;Malignant neoplasm of bronchus and lung;73;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;4;I60;Subarachnoid hemorrhage;72;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;5;I25;Chronic ischaemic heart disease;59;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;5;C53;Malignant neoplasm of cervix uteri;59;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;7;I21;Acute myocardial infarction;56;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;8;C56;Malignant neoplasm of ovary;51;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;9;C71;Malignant neoplasm of brain;49;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2005;9;C80;Malignant neoplasm without specification of site;49;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;1;C50;Malignant neoplasm of breast;270;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;2;K70;Alcoholic liver disease;164;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;3;X42;Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified;75;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;4;C34;Malignant neoplasm of bronchus and lung;65;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;5;X70;Intentional self-harm by hanging strangulation and suffocation;52;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;6;J18;Pneumonia organism unspecified;45;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;7;I25;Chronic ischaemic heart disease;43;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;8;C53;Malignant neoplasm of cervix uteri;41;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;9;I21;Acute myocardial infarction;39;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40-44 years;2015;9;C71;Malignant neoplasm of brain;39;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;1;79A;Valvular disease;832;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;2;28A;Pulmonary tuberculosis;798;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;3;42;Cancer of female genital organs;659;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;4;79C;Other organic disease of heart;613;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;5;89&90B;Other bronchitis;496;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;6;43;Cancer of breast;467;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;7;120A;Bright's disease (as 1901 list);428;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;7;64E;Cerebral haemorrhage;428;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;9;40;Cancer of stomach, liver, etc;416;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1915;10;28B;Phthisis (not def. as t.b.);384;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;1;31;Tuberculosis of the respiratory system;953;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;2;46;Cancer of the female genital organs;725;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;3;47;Cancer of the breast;626;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;4;44;Cancer of the pharynx, oesophagus, stomach, liver and annexa;446;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;5;129;Chronic nephritis (including unspecified over 10 years of age);372;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;6;74a(1);Cerebral haemorrhage so returned;367;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;7;90(4);Other or unspecified valve disease;362;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;8;90(2);Mitral valve disease;316;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;9;45;Cancer of the peritoneum, intestines and rectum;278;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1925;10;101a;Lobar pneumonia;240;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;1;46;Cancer of the digestive organs and peritoneum;673;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;2;50;Cancer of the breast;617;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;3;23;Tuberculosis of the respiratory system;595;6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;4;48;Cancer of the uterus;520;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;5;131;Chronic nephritis;362;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;6;92(2);Mitral valve disease;318;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;7;82a(1);Cerebral haemorrhage so returned;287;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;8;93b(3);Other myocardial degeneration;277;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;9;92(5);Other or unspecified valve disease;230;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1935;10;108;Lobar pneumonia;227;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;1;50;Cancer of the breast;646;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;2;13b;Tb. of the resp. system without mention of occupational disease of lung;479;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;3;83a;Cerebral haemorrhage;473;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;4;92b(1);Mitral valve disease;333;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;5;49;Cancer of other female genital organs;246;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;6;48a;Cancer of the uterus specified as cancer of cervix;215;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;7;48b;Other or unspecified cancer of the uterus;212;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;8;46b;Cancer of the stomach and duodenum;208;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;9;46c;Cancer of the intestines other than duodenum or rectum;203;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1945;10;93c(3);Other myocardial degeneration;156;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;1;170;Malignant neoplasm of breast;812;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;2;410;Diseases of mitral valve;359;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;3;331;Cerebral haemorrhage;355;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;4;420;Arteriosclerotic heart disease, including coronary disease;308;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;5;175;Malignant neoplasm of ovary, fallopian tube, and broad ligament;284;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;6;171;Malignant neoplasm of cervix uteri;213;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;7;151;Malignant neoplasm of stomach;168;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;8;330;Subarachnoid haemorrhage;156;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;9;153;Malignant neoplasm of large intestine, except rectum;149;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1955;10;2;Pulmonary tuberculosis;129;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;1;170;Malignant neoplasm of breast;720;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;2;420;Arteriosclerotic heart disease, including coronary disease;369;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;3;171;Malignant neoplasm of cervix uteri;262;5,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;4;175;Malignant neoplasm of ovary, fallopian tube, and broad ligament;254;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;5;331;Cerebral haemorrhage;196;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;6;410;Diseases of mitral valve;194;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;7;330;Subarachnoid haemorrhage;176;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;8;153;Malignant neoplasm of large intestine, except rectum;146;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;9;162;Malignant neoplasm of bronchus and trachea, and of lung (primary);144;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1965;10;151;Malignant neoplasm of stomach;111;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;1;174;Malignant neoplasm of breast;807;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;2;410;Acute myocardial infarction;378;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;3;162;Malignant neoplasm of trachea, bronchus and lung;254;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;4;183;Malignant neoplasm of ovary, fallopian tube, and broad ligament;250;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;5;430;Subarachnoid haemorrhage;192;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;6;180;Malignant neoplasm of cervix uteri;154;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;7;153;Malignant neoplasm of large intestine, except rectum;124;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;8;431;Cerebral haemorrhage;107;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;9;412;Chronic ischaemic heart disease;88;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1975;10;950;Suicide and self inflicted poisoning by solid or liquid substances;85;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;1;174;Malignant neoplasm of female breast;681;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;2;410;Acute myocardial infarction;210;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;3;162;Malignant neoplasm of trachea, bronchus and lung;203;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;4;183;Malignant neoplasm of ovary and other uterine adnexa;183;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;5;153;Malignant neoplasm of colon;130;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;6;180;Malignant neoplasm of cervix uteri;117;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;7;414;Other forms of chronic ischaemic heart disease;111;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;8;430;Subarachnoid haemorrhage;99;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;9;199;Malignant neoplasm without specification of site;75;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1985;10;191;Malignant neoplasm of brain;64;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;1;174;Malignant neoplasm of female breast;790;20,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;2;162;Malignant neoplasm of trachea, bronchus and lung;234;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;3;183;Malignant neoplasm of ovary and other uterine adnexa;190;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;4;410;Acute myocardial infarction;151;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;5;571;Chronic liver disease and cirrhosis;144;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;6;199;Malignant neoplasm without specification of site;121;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;7;430;Subarachnoid haemorrhage;116;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;8;414;Other forms of chronic ischaemic heart disease;111;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;9;180;Malignant neoplasm of cervix uteri;110;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;1995;10;153;Malignant neoplasm of colon;102;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;1;C50;Malignant neoplasm of breast;509;15,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;2;K70;Alcoholic liver disease;231;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;3;C34;Malignant neoplasm of bronchus and lung;194;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;4;C56;Malignant neoplasm of ovary;120;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;5;I25;Chronic ischaemic heart disease;119;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;6;I60;Subarachnoid hemorrhage;101;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;7;C80;Malignant neoplasm without specification of site;88;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;8;I21;Acute myocardial infarction;81;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;9;C71;Malignant neoplasm of brain;70;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2005;10;C53;Malignant neoplasm of cervix uteri;57;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;1;C50;Malignant neoplasm of breast;478;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;2;K70;Alcoholic liver disease;235;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;3;C34;Malignant neoplasm of bronchus and lung;172;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;4;I25;Chronic ischaemic heart disease;109;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;5;J18;Pneumonia organism unspecified;81;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;6;C56;Malignant neoplasm of ovary;80;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;7;I21;Acute myocardial infarction;75;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;8;C80;Malignant neoplasm without specification of site;71;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;9;I60;Subarachnoid hemorrhage;68;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45-49 years;2015;10;C71;Malignant neoplasm of brain;65;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;1;79A;Valvular disease;963;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;2;79C;Other organic disease of heart;864;6,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;3;89&90B;Other bronchitis;779;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;4;64E;Cerebral haemorrhage;734;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;5;42;Cancer of female genital organs;701;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;6;40;Cancer of stomach, liver, etc;651;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;7;28A;Pulmonary tuberculosis;640;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;8;43;Cancer of breast;540;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;9;120A;Bright's disease (as 1901 list);529;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50-54 years;1915;10;41;Cancer of peritoneum, intestines & rectum;398;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
